2019-11-28 00:10:15.329 +01:00 [INF] Starting up the service.
2019-11-28 00:11:12.041 +01:00 [INF] Worker running at: "2019-11-28T00:11:12.0410677+01:00" 1000
2019-11-28 00:11:13.042 +01:00 [INF] Worker running at: "2019-11-28T00:11:13.0418638+01:00" 1000
2019-11-28 00:11:14.042 +01:00 [INF] Worker running at: "2019-11-28T00:11:14.0428817+01:00" 1000
2019-11-28 00:11:15.043 +01:00 [INF] Worker running at: "2019-11-28T00:11:15.0439498+01:00" 1000
2019-11-28 00:11:16.045 +01:00 [INF] Worker running at: "2019-11-28T00:11:16.0451268+01:00" 1000
2019-11-28 00:11:17.045 +01:00 [INF] Worker running at: "2019-11-28T00:11:17.0454289+01:00" 1000
2019-11-28 00:11:18.046 +01:00 [INF] Worker running at: "2019-11-28T00:11:18.0466580+01:00" 1000
2019-11-28 00:11:19.047 +01:00 [INF] Worker running at: "2019-11-28T00:11:19.0476552+01:00" 1000
2019-11-28 00:11:20.048 +01:00 [INF] Worker running at: "2019-11-28T00:11:20.0488327+01:00" 1000
2019-11-28 00:11:21.049 +01:00 [INF] Worker running at: "2019-11-28T00:11:21.0499134+01:00" 1000
2019-11-28 00:11:22.050 +01:00 [INF] Worker running at: "2019-11-28T00:11:22.0504970+01:00" 1000
2019-11-28 00:11:23.051 +01:00 [INF] Worker running at: "2019-11-28T00:11:23.0515894+01:00" 1000
2019-11-28 00:11:24.052 +01:00 [INF] Worker running at: "2019-11-28T00:11:24.0526904+01:00" 1000
2019-11-28 00:11:25.053 +01:00 [INF] Worker running at: "2019-11-28T00:11:25.0532696+01:00" 1000
2019-11-28 00:11:26.054 +01:00 [INF] Worker running at: "2019-11-28T00:11:26.0542425+01:00" 1000
2019-11-28 00:11:27.054 +01:00 [INF] Worker running at: "2019-11-28T00:11:27.0546934+01:00" 1000
2019-11-28 00:11:28.055 +01:00 [INF] Worker running at: "2019-11-28T00:11:28.0554662+01:00" 1000
2019-11-28 00:11:29.056 +01:00 [INF] Worker running at: "2019-11-28T00:11:29.0563556+01:00" 1000
2019-11-28 00:11:30.057 +01:00 [INF] Worker running at: "2019-11-28T00:11:30.0570182+01:00" 1000
2019-11-28 00:11:31.058 +01:00 [INF] Worker running at: "2019-11-28T00:11:31.0581507+01:00" 1000
2019-11-28 00:11:32.058 +01:00 [INF] Worker running at: "2019-11-28T00:11:32.0587490+01:00" 1000
2019-11-28 00:11:33.059 +01:00 [INF] Worker running at: "2019-11-28T00:11:33.0594411+01:00" 1000
2019-11-28 00:11:34.059 +01:00 [INF] Worker running at: "2019-11-28T00:11:34.0598148+01:00" 1000
